AnimalCode,Date,TrialID,Time,BFMTime,Duration,Contrast,PerceptualCat,ReactTime,Rewarded?,Enticed?,Seen?,Consume?,Attrition?,Recording,EngagementScore,EngagementScore_S20,MovieFile,Delay
cfm001mjr,240506,240506_1_001,3.198,1.8419826044536194,0.5289999999999999,0.06,3,11.879999999999999,0,0,0,0,1,1,0,0,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
cfm001mjr,240506,240506_1_002,6.353,4.996982604453619,0.5220000000000002,0.023,1,8.725,0,0,0,0,1,1,0,0,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
cfm001mjr,240506,240506_1_003,10.228,8.871982604453619,0.532,0,1,4.85,0,0,0,0,1,1,0,0.05714285714285714,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
cfm001mjr,240506,240506_1_004,14.599,13.24298260445362,0.520999999999999,0.024,1,0.4789999999999992,1,1,1,1,1,1,0.2857142857142857,0.08673469387755102,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
cfm001mjr,240506,240506_1_005,43.217,41.86098260445362,0.5500000000000043,0.023,1,4.463999999999999,0,0,0,0,1,1,0,0.13095238095238093,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
cfm001mjr,240506,240506_1_006,46.886,45.52998260445362,0.5269999999999939,0.025,1,0.7949999999999946,0,0,0,0,1,1,0.03571428571428571,0.10714285714285712,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
cfm001mjr,240506,240506_1_007,53.788,52.431982604453616,0.5560000000000045,0.045,2,0.4380000000000024,1,1,1,1,1,1,0.2857142857142857,0.1456043956043956,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
cfm001mjr,240506,240506_1_008,80.268,78.91198260445363,0.5240000000000009,0.023,1,0.3930000000000007,1,1,1,1,1,1,0.2857142857142857,0.13095238095238096,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
cfm001mjr,240506,240506_1_009,84.838,83.48198260445362,0.5520000000000067,0.045,2,0.17600000000000193,1,0,0,1,1,1,0.2857142857142857,0.11764705882352941,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
cfm001mjr,240506,240506_1_010,94.805,93.44898260445363,0.5289999999999964,0.023,1,7.216999999999999,0,0,0,0,1,1,0,0.10902255639097744,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5,-2.832001395545397
