mouse_group,task,region,n_total,class_counts,balanced_acc,auc,min_class_n,p_bal,p_auc,null_bal_mean,null_bal_std,null_auc_mean,null_auc_std
ALL,HC_hit_vs_MC_hit,M1,1277,"{0.0: 409, 1.0: 868}",0.5786375105130361,0.6064620128959911,409,0.009900990099009901,0.009900990099009901,0.49504976170451365,0.033112404594585136,0.4957590412111017,0.039956779692402286
ALL,HC_hit_vs_MC_hit,V1,1277,"{0.0: 409, 1.0: 868}",0.5251611998878609,0.5480796187272218,409,0.3069306930693069,0.1485148514851485,0.5015671432576394,0.034759380593829714,0.5025686851696104,0.04085635163554568
ALL,HC_hit_vs_MC_hit,VISa,1277,"{0.0: 409, 1.0: 868}",0.5513737033922064,0.5558592654892066,409,0.10891089108910891,0.09900990099009901,0.5036262966077937,0.035769040827731594,0.5053146902158677,0.04256965124949946
ALL,HC_hit_vs_MC_hit,VISam,1277,"{0.0: 409, 1.0: 868}",0.5424025791982058,0.5508130081300814,409,0.1485148514851485,0.15841584158415842,0.5046867115222877,0.032718968730850846,0.5050525651808242,0.03970593013886838
ALL,HC_hit_vs_MC_hit,VISpm,1277,"{0.0: 409, 1.0: 868}",0.5574712643678161,0.5640594336977853,409,0.039603960396039604,0.039603960396039604,0.500805298570227,0.03069781196729981,0.5006349873843567,0.03563832056092067
ALL,HC_hit_vs_MC_hit,ALL_REGIONS_COMBINED,1277,"{0.0: 409, 1.0: 868}",0.5980515839641155,0.6408045977011494,409,0.009900990099009901,0.009900990099009901,0.4944407064760303,0.03318674345945583,0.4966232127838519,0.038651384106102055
ALL,HC_vs_LC_noreport,M1,1569,"{0.0: 327, 1.0: 1242}",0.5212542477602718,0.5441458140253321,327,0.33663366336633666,0.22772277227722773,0.5074936669755946,0.03429748767955949,0.508171763978993,0.04234083015550835
ALL,HC_vs_LC_noreport,V1,1569,"{0.0: 327, 1.0: 1242}",0.5353104726598703,0.5349397590361445,327,0.12871287128712872,0.2079207920792079,0.5006240345999382,0.031013165275525147,0.5015316651220266,0.03832208869464537
ALL,HC_vs_LC_noreport,VISa,1569,"{0.0: 327, 1.0: 1242}",0.5644114921223355,0.608649984553599,327,0.039603960396039604,0.009900990099009901,0.4984908866234166,0.036069300340868395,0.499645968489342,0.04050443835830465
ALL,HC_vs_LC_noreport,VISam,1569,"{0.0: 327, 1.0: 1242}",0.6099165894346616,0.6464009885696632,327,0.009900990099009901,0.009900990099009901,0.49868025949953654,0.03208894514499424,0.5002125424776027,0.03986841215138792
ALL,HC_vs_LC_noreport,VISpm,1569,"{0.0: 327, 1.0: 1242}",0.5670991658943466,0.5994439295644114,327,0.039603960396039604,0.0297029702970297,0.5004062403459993,0.03294003427750035,0.49950695088044483,0.04076964216086623
ALL,HC_vs_LC_noreport,ALL_REGIONS_COMBINED,1569,"{0.0: 327, 1.0: 1242}",0.5738029039233858,0.5980846462774174,327,0.0297029702970297,0.019801980198019802,0.502549891875193,0.03463226358049543,0.5025665739882608,0.042014115211870644
ALL,HC_hit_vs_miss,M1,1060,"{0.0: 192, 1.0: 868}",0.6519963702359346,0.691923774954628,192,0.009900990099009901,0.009900990099009901,0.5103191167574108,0.04659080933274169,0.5135238959467635,0.05569296870479212
ALL,HC_hit_vs_miss,V1,1060,"{0.0: 192, 1.0: 868}",0.6392921960072595,0.6751361161524501,192,0.009900990099009901,0.009900990099009901,0.5094192377495462,0.04537971844869783,0.5066258318209316,0.051823527936073824
ALL,HC_hit_vs_miss,VISa,1060,"{0.0: 192, 1.0: 868}",0.48926194797338174,0.5245009074410163,192,0.6534653465346535,0.31683168316831684,0.5016651542649727,0.048495860122532986,0.4973820326678766,0.05901509119515261
ALL,HC_hit_vs_miss,VISam,1060,"{0.0: 192, 1.0: 868}",0.5969449485783425,0.6666666666666666,192,0.019801980198019802,0.009900990099009901,0.4958182093163945,0.03944284684010568,0.4979597701149425,0.051473793429645434
ALL,HC_hit_vs_miss,VISpm,1060,"{0.0: 192, 1.0: 868}",0.6155474894131882,0.6542649727767694,192,0.009900990099009901,0.019801980198019802,0.5061222020568663,0.04521394351871249,0.507540834845735,0.056961404996675055
